Date,Time,Key,type,IncidentAddress
1/1/19,17.32,0,Other (complaint details),1680 BEDFORD AVENUE
1/1/19,17.31,1,Neglected,542 EAST 79 STREET
1/1/19,19.11,1,Neglected,998 BARBEY STREET
1/1/19,12.03,1,Neglected,2 ELLWOOD STREET
1/1/19,10.39,1,Neglected,
1/1/19,15.25,0,Other (complaint details),200 RECTOR PLACE
1/1/19,0.34,1,Neglected,2213 EAST 69 STREET
1/1/19,10.16,2,Tortured,2101 MADISON AVENUE
1/1/19,5.13,2,Tortured,69-41 78 STREET
1/1/19,18.46,1,Neglected,
1/1/19,13.38,1,Neglected,216-31 111 AVENUE
1/1/19,14.07,1,Neglected,552 WEST 171 STREET
1/1/19,22.41,1,Neglected,1914 RICHMOND TERRACE
1/1/19,14.42,3,No Shelter,GROVE
1/2/19,7.46,0,Other (complaint details),801 OCEAN PARKWAY
1/2/19,10.13,0,Other (complaint details),266 THROGS NECK BOULEVARD
1/2/19,13.41,1,Neglected,117-23 147 STREET
1/2/19,9.02,1,Neglected,40-08 VERNON BOULEVARD
1/2/19,12.07,1,Neglected,31-60 34 STREET
1/2/19,13.09,0,Other (complaint details),447 WEST 48 STREET
1/2/19,11.45,0,Other (complaint details),134-39 BLOSSOM AVENUE
1/2/19,20.4,2,Tortured,205-21 112 ROAD
1/2/19,15.46,0,Other (complaint details),ROOSEVELT ISLAND
1/2/19,12.54,1,Neglected,480 CONCORD AVENUE
1/2/19,23.18,4,Chained,321 WEST 136 STREET
1/2/19,10.21,1,Neglected,192 MACDONOUGH STREET
1/2/19,15.3,3,No Shelter,124 76 STREET
1/2/19,3.48,0,Other (complaint details),
1/2/19,3.36,3,No Shelter,
1/2/19,11.37,1,Neglected,447 WEST 48 STREET
1/2/19,10.5,1,Neglected,888 EAST TREMONT AVENUE
1/2/19,13.47,1,Neglected,500 WEST 42 STREET
1/2/19,20.5,2,Tortured,171 TRANTOR PLACE
1/2/19,22.49,0,Other (complaint details),67 HILL STREET
1/2/19,16.09,1,Neglected,
1/2/19,21.34,1,Neglected,LEXINGTON AVENUE
1/3/19,18.57,1,Neglected,23 CLINTON STREET
1/3/19,19.14,1,Neglected,182 BAY RIDGE AVENUE
1/3/19,10.48,1,Neglected,72-51 60 LANE
1/3/19,8.31,1,Neglected,400 BROOK AVENUE
1/3/19,14,1,Neglected,
1/3/19,11.32,3,No Shelter,BROADWAY
1/3/19,16.37,1,Neglected,56-09 226 STREET
1/3/19,12,1,Neglected,630 CHAUNCEY STREET
1/3/19,15.46,0,Other (complaint details),1360 OCEAN AVENUE
1/3/19,9.57,0,Other (complaint details),500 WEST 42 STREET
1/3/19,9.58,1,Neglected,STOCKHOLM STREET
1/3/19,18.11,1,Neglected,188-02 RIDGEDALE STREET
1/3/19,7.58,1,Neglected,193 MALCOLM X BOULEVARD
1/3/19,18.11,1,Neglected,14 AUBURN PLACE
1/3/19,12.11,3,No Shelter,197 ROCKAWAY AVENUE
